Name,Academic Press,Conflict Resolution,Course Clarity,Cultural Awareness and Inclusive Classroom Instruction,Guidance,Inclusive Leadership,Personal Attention and Support,Preventing Bullying,Safety,Social Emotional,Student-Student Trust,Student-Teacher Trust,system_code,fiscal_year,location_code,location_name,BEDS,Managed_by_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,open_date,Status_descriptions,Primary_building_code,primary_address_line_1,State_code,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,Community_district,Council-district,Census_tract,Borough_block_lot,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Tier_2_Support_Location_Name,HighSchool_Network_Location_Code,HighSchool_Network_Name,HighSchool_Network_Superintendent,Community_district 1,Police_precinct,Simple_Name
01M515 - Lower East Side Preparatory High School,77.0,91.0,84.0,92.0,93.0,93.0,81.0,82.0,89.0,72.0,92.0,93.0,01M515,2020,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",1996-06-05T00:00:00.000,Open,M025,145 STANTON STREET,NY,988120.0,201607.0,-73.986038,40.72004,103.0,1.0,3001.0,1003540080.0,MN27,Chinatown,Rene Anaya,Principal,212-505-6366,212-260-0813,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",103.0,7.0,01
"01M539 - New Explorations into Science, Technology and Math High School",73.0,82.0,79.0,84.0,84.0,84.0,68.0,76.0,85.0,61.0,87.0,82.0,01M539,2020,M539,"New Explorations into Science, Technology and Math",310100011539,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12",2000-07-01T00:00:00.000,Open,M022,111 COLUMBIA STREET,NY,989910.0,201380.0,-73.979581,40.719416,103.0,2.0,2201.0,1003350001.0,MN28,Lower East Side,MARK BERKOWITZ,Principal,212-677-5190,212-260-8124,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,01
01M650 - Cascades High School,70.0,89.0,74.0,89.0,92.0,92.0,82.0,85.0,92.0,78.0,81.0,90.0,01M650,2020,M650,Cascades High School,310100011650,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",1998-01-05T00:00:00.000,Open,M510,198 FORSYTH STREET,NY,986892.0,202472.0,-73.990468,40.722415,103.0,1.0,3601.0,1004220072.0,MN27,Chinatown,Claire Sheehan,Principal,646-654-1261,646-654-1742,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 2- Manhattan,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",103.0,5.0,01
01M696 - Bard High School Early College,81.0,82.0,79.0,84.0,83.0,87.0,65.0,77.0,85.0,54.0,88.0,83.0,01M696,2020,M696,Bard High School Early College,310100011696,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2001-07-01T00:00:00.000,Open,M097,525 EAST HOUSTON STREET,NY,990877.0,200965.0,-73.976093,40.718276,103.0,2.0,1002.0,1003250025.0,MN28,Lower East Side,MICHAEL LERNER,Principal,212-995-8479,212-777-4702,1,1,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,7.0,01
01M839 - Tompkins Square Middle School,70.0,78.0,78.0,84.0,85.0,88.0,71.0,53.0,80.0,63.0,59.0,81.0,01M839,2020,M839,Tompkins Square Middle School,310100010839,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2001-07-01T00:00:00.000,Open,M064,600 EAST  6 STREET,NY,989351.0,202733.0,-73.981597,40.72313,103.0,2.0,2601.0,1003870001.0,MN28,Lower East Side,SONHANDO ESTWICK,Principal,212-995-1430,212-979-1341,1,1,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,9.0,01
02M047 - 47 The American Sign Language and English Secondary School,66.0,76.0,78.0,83.0,80.0,90.0,69.0,77.0,87.0,58.0,83.0,85.0,02M047,2020,M047,47 The American Sign Language and English Secondar,310200010047,DOE,Special Education,High school,"09,10,11,12,SE","09,10,11,12,SE",1908-07-01T00:00:00.000,Open,M047,223 EAST 23 STREET,NY,989424.0,208287.0,-73.981329,40.738374,106.0,2.0,6400.0,1009040024.0,MN21,Gramercy,WATFA SHAMA,Principal,917-326-6668,917-326-6688,2,2,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",106.0,13.0,02
02M104 - J.H.S. 104 Simon Baruch,59.0,67.0,70.0,77.0,72.0,72.0,59.0,50.0,75.0,55.0,64.0,75.0,02M104,2020,M104,J.H.S. 104 Simon Baruch,310200010104,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1956-07-01T00:00:00.000,Open,M104,330 EAST  21 STREET,NY,989506.0,207378.0,-73.981034,40.735879,106.0,2.0,6400.0,1009260001.0,MN21,Gramercy,Rocco Macri,Principal,212-674-4545,212-477-2205,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,106.0,13.0,02
02M114 - East Side Middle School,71.0,75.0,80.0,85.0,75.0,85.0,73.0,66.0,83.0,65.0,78.0,83.0,02M114,2020,M114,East Side Middle School,310200010114,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1999-07-01T00:00:00.000,Open,M114,331 EAST 91ST STREET,NY,998823.0,223621.0,-73.947379,40.780452,108.0,5.0,15400.0,1015540032.0,MN32,Yorkville,DAVID GETZ,Principal,212-360-0114,212-360-0121,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,108.0,19.0,02
02M126 - P.S. 126 Jacob August Riis,69.0,81.0,78.0,86.0,86.0,83.0,70.0,74.0,84.0,65.0,79.0,85.0,02M126,2020,M126,P.S. 126 Jacob August Riis,310200010126,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1966-07-01T00:00:00.000,Open,M126,80 CATHERINE STREET,NY,984965.0,198186.0,-73.99742,40.710651,103.0,1.0,2500.0,1001110160.0,MN27,Chinatown,Carlos Romero,Principal,212-962-2188,212-349-7342,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,5.0,02
02M131 - M.S. 131,63.0,73.0,74.0,80.0,77.0,76.0,64.0,54.0,73.0,58.0,63.0,78.0,02M131,2020,M131,M.S. 131,310200010131,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1983-07-01T00:00:00.000,Open,M131,100 HESTER STREET,NY,986022.0,200219.0,-73.993607,40.716231,103.0,1.0,1600.0,1003010003.0,MN27,Chinatown,Benjamin Geballe,Principal,212-219-1204,212-925-6386,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,103.0,5.0,02
02M135 - The Urban Assembly School for Emergency Management,71.0,81.0,66.0,86.0,82.0,91.0,66.0,65.0,87.0,60.0,78.0,83.0,02M135,2020,M135,The Urban Assembly School for Emergency Management,310200011135,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",2013-07-01T00:00:00.000,Open,M520,411 PEARL STREET,NY,983793.0,198427.0,-74.000851,40.711441,101.0,1.0,2900.0,1001130100.0,MN27,Chinatown,Robert Magliaro,Principal,212-225-0998,212-225-0996,2,2,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 4- Affinity Group,HS03,HS Network 03 Superintendent Office,"WALSH, FRED",101.0,5.0,02
02M139 - Stephen T. Mather Building Arts & Craftsmanship High School,73.0,91.0,78.0,89.0,87.0,96.0,75.0,76.0,87.0,67.0,86.0,90.0,02M139,2020,M139,Stephen T. Mather Building Arts & Craftsmanship Hi,310200011139,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",2013-07-01T00:00:00.000,Open,M625,439 WEST 49TH STREET,NY,986932.0,217497.0,-73.990318,40.763655,104.0,3.0,12700.0,1010590015.0,MN15,Clinton,Larry Gabbard,Principal,212-399-3520,212-245-4669,2,2,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 1- Affinity Group,HS03,HS Network 03 Superintendent Office,"WALSH, FRED",104.0,18.0,02
02M167 - J.H.S. 167 Robert F. Wagner,63.0,71.0,71.0,81.0,74.0,80.0,64.0,52.0,79.0,58.0,67.0,78.0,02M167,2020,M167,J.H.S. 167 Robert F. Wagner,310200010167,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1956-07-01T00:00:00.000,Open,M167,220 EAST  76 STREET,NY,995931.0,220373.0,-73.957827,40.771541,108.0,4.0,13400.0,1014300005.0,MN31,Lenox Hill-Roosevelt Island,Jennifer Rehn,Principal,212-535-8610,212-472-9385,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,108.0,19.0,02
02M177 - Yorkville East Middle School,67.0,76.0,76.0,81.0,78.0,81.0,68.0,60.0,84.0,63.0,66.0,81.0,02M177,2020,M177,Yorkville East Middle School,310200010177,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2014-07-01T00:00:00.000,Open,M158,1458 YORK AVENUE,NY,997893.0,219891.0,-73.950745,40.770215,108.0,5.0,13200.0,1014890001.0,MN31,Lenox Hill-Roosevelt Island,Christina Riggio,Principal,917-432-5413,917-432-5418,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,108.0,19.0,02
02M217 - P.S./I.S. 217 Roosevelt Island,68.0,68.0,73.0,86.0,88.0,84.0,64.0,52.0,83.0,64.0,59.0,85.0,02M217,2020,M217,P.S./I.S. 217 Roosevelt Island,310200010217,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08","PK,0K,01,02,03,04,05,06,07,08",1999-07-01T00:00:00.000,Open,M271,645 MAIN STREET,NY,996320.0,213836.0,-73.956435,40.753598,108.0,5.0,23801.0,1013730001.0,MN31,Lenox Hill-Roosevelt Island,MANDANA BECKMAN,Principal,212-980-0294,212-980-1192,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,108.0,114.0,02
02M225 - Ella Baker School,73.0,68.0,76.0,89.0,82.0,79.0,72.0,58.0,76.0,61.0,54.0,80.0,02M225,2020,M225,Ella Baker School,310200011225,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1999-07-01T00:00:00.000,Open,M480,317 EAST  67 STREET,NY,995392.0,218222.0,-73.959777,40.765638,108.0,5.0,11800.0,1014420001.0,MN31,Lenox Hill-Roosevelt Island,Joshua Satin,Principal,212-717-8809,212-717-8807,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,108.0,19.0,02
02M255 - M.S. 255 Salk School of Science,70.0,72.0,81.0,82.0,68.0,79.0,69.0,68.0,79.0,61.0,73.0,76.0,02M255,2020,M255,M.S. 255 Salk School of Science,310200010255,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2000-06-21T00:00:00.000,Open,M040,320 EAST 20TH STREET,NY,989367.0,207177.0,-73.981536,40.735328,106.0,2.0,6400.0,1009250012.0,MN21,Gramercy,Rhonda Perry,Principal,212-614-8785,212-614-0095,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,106.0,13.0,02
02M255 - M.S. 255 Salk School of Science,70.0,72.0,81.0,82.0,68.0,79.0,69.0,68.0,79.0,61.0,73.0,76.0,02M255,2020,M255,M.S. 255 Salk School of Science,310200010255,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2000-06-21T00:00:00.000,Open,M040,320 EAST 20TH STREET,NY,989367.0,207177.0,-73.981536,40.735328,106.0,2.0,6400.0,1009250012.0,MN21,Gramercy,Rhonda Perry,Principal,212-614-8785,212-614-0095,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,106.0,13.0,02
02M260 - The Clinton School,67.0,77.0,65.0,77.0,72.0,75.0,59.0,77.0,85.0,57.0,83.0,72.0,02M260,2020,M260,The Clinton School,310200010260,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",2000-06-21T00:00:00.000,Open,M868,10 East 15th Street,NY,986370.0,207476.0,-73.992727,40.736526,105.0,2.0,5200.0,1008420034.0,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,Jonathan Levin,Principal,212-524-4360,212-524-4365,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,105.0,13.0,02
02M276 - Battery Park City School,68.0,74.0,78.0,82.0,55.0,85.0,67.0,68.0,85.0,58.0,75.0,80.0,02M276,2020,M276,Battery Park City School,310200010276,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",2009-07-01T00:00:00.000,Open,M276,55 BATTERY PLACE,NY,979410.0,196632.0,-74.017456,40.706384,101.0,1.0,31704.0,1000160040.0,MN25,Battery Park City-Lower Manhattan,Theresa Ruyter,Principal,212-266-5800,,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,101.0,1.0,02
02M280 - Manhattan Early College School for Advertising,74.0,75.0,74.0,85.0,69.0,85.0,71.0,69.0,79.0,62.0,81.0,82.0,02M280,2020,M280,Manhattan Early College School for Advertising,310200011280,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",2014-07-01T00:00:00.000,Open,M520,411 PEARL STREET,NY,983793.0,198427.0,-74.000851,40.711441,101.0,1.0,2900.0,1001130100.0,MN27,Chinatown,Sarah Kaplan,Principal,212-225-0880,212-225-0882,2,2,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 1- Affinity Group,HS03,HS Network 03 Superintendent Office,"WALSH, FRED",101.0,5.0,02
02M282 - Urban Assembly Maker Academy,74.0,88.0,79.0,89.0,84.0,91.0,73.0,78.0,89.0,68.0,86.0,87.0,02M282,2020,M282,Urban Assembly Maker Academy,310200011282,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",2014-07-01T00:00:00.000,Open,M520,411 PEARL STREET,NY,983793.0,198427.0,-74.000851,40.711441,101.0,1.0,2900.0,1001130100.0,MN27,Chinatown,Luke Bauer,Principal,212-225-0890,212-225-0991,2,2,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 4- Affinity Group,HS03,HS Network 03 Superintendent Office,"WALSH, FRED",101.0,5.0,02
02M288 - Food and Finance High School,63.0,74.0,63.0,82.0,79.0,85.0,60.0,63.0,77.0,56.0,71.0,80.0,02M288,2020,M288,Food and Finance High School,310200011288,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",2004-09-08T00:00:00.000,Open,M535,525 WEST  50TH STREET,NY,986272.0,218160.0,-73.9927,40.765474,104.0,3.0,13500.0,1010790029.0,MN15,Clinton,ROGER TURGEON,Principal,212-586-2943,212-586-4205,2,2,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",104.0,18.0,02
02M289 - I.S. 289,67.0,72.0,75.0,82.0,71.0,81.0,63.0,73.0,82.0,59.0,76.0,76.0,02M289,2020,M289,I.S. 289,310200010289,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1998-05-27T00:00:00.000,Open,M089,201 WARREN STREET,NY,980378.0,200503.0,-74.013967,40.71701,101.0,1.0,31703.0,1000160221.0,MN25,Battery Park City-Lower Manhattan,Zeynep Ozkan,Principal,212-571-9268,212-587-6610,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 4- Manhattan,,,,101.0,1.0,02
02M294 - Essex Street Academy,71.0,88.0,76.0,88.0,85.0,92.0,73.0,74.0,88.0,66.0,89.0,87.0,02M294,2020,M294,Essex Street Academy,310200011294,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004-09-08T00:00:00.000,Open,M445,350 GRAND STREET,NY,987208.0,200619.0,-73.989329,40.717329,103.0,1.0,1800.0,1004080030.0,MN27,Chinatown,Wallace Simpson,Principal,212-475-4773,212-674-2058,2,2,,,NYCDOE Citywide Office - Affinity Schools,,School Support Team 5- Affinity Group,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",103.0,7.0,02
02M296 - High School of Hospitality Management,70.0,78.0,75.0,84.0,85.0,96.0,70.0,78.0,85.0,62.0,89.0,84.0,02M296,2020,M296,High School of Hospitality Management,310200011296,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004-09-08T00:00:00.000,Open,M535,525 WEST  50TH STREET,NY,986272.0,218160.0,-73.9927,40.765474,104.0,3.0,13500.0,1010790029.0,MN15,Clinton,YVES MOMPOINT JR,Principal,212-586-0963,212-265-1307,2,2,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",104.0,18.0,02
02M297 - M.S. 297,54.0,50.0,60.0,71.0,66.0,63.0,52.0,36.0,58.0,48.0,46.0,64.0,02M297,2020,M297,M.S. 297,310200010297,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",2017-07-01T00:00:00.000,Open,M323,75 MORTON STREET,NY,982162.0,205690.0,-74.007192,40.731006,102.0,3.0,6900.0,1006030049.0,MN23,West Village,JACQUELINE GETZ,Principal,917-678-8367,212-524-4365,2,2,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 3- Manhattan,,,,102.0,6.0,02
02M298 - Pace High School,70.0,78.0,71.0,84.0,84.0,88.0,69.0,69.0,80.0,59.0,80.0,84.0,02M298,2020,M298,Pace High School,310200011298,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004-09-08T00:00:00.000,Open,M131,100 HESTER STREET,NY,986022.0,200219.0,-73.993607,40.716231,103.0,1.0,1600.0,1003010003.0,MN27,Chinatown,Eric Glatz,Principal,212-334-4663,212-334-4919,2,2,,,NYCDOE Borough Office - Manhattan,"CHU, YUET",School Support Team 1- Manhattan,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",103.0,5.0,02
